DATE,VALUE
4/1/72,73163
5/1/72,73467
6/1/72,73760
7/1/72,73709
8/1/72,74137
9/1/72,74268
10/1/72,74672
11/1/72,74965
12/1/72,75270
1/1/73,75620
2/1/73,76017
3/1/73,76286
4/1/73,76456
5/1/73,76646
6/1/73,76886
7/1/73,76911
8/1/73,77166
9/1/73,77281
10/1/73,77605
11/1/73,77909
12/1/73,78035
1/1/74,78104
2/1/74,78253
3/1/74,78295
4/1/74,78384
5/1/74,78547
6/1/74,78602
7/1/74,78634
8/1/74,78619
9/1/74,78614
10/1/74,78627
11/1/74,78259
12/1/74,77657
1/1/75,77297
2/1/75,76919
3/1/75,76649
4/1/75,76463
5/1/75,76623
6/1/75,76519
7/1/75,76768
8/1/75,77154
9/1/75,77232
10/1/75,77535
11/1/75,77679
12/1/75,78017
1/1/76,78506
2/1/76,78817
3/1/76,79049
4/1/76,79293
5/1/76,79311
6/1/76,79376
7/1/76,79546
8/1/76,79704
9/1/76,79892
10/1/76,79905
11/1/76,80237
12/1/76,80448
1/1/77,80692
2/1/77,80987
3/1/77,81391
4/1/77,81730
5/1/77,82089
6/1/77,82488
7/1/77,82836
8/1/77,83074
9/1/77,83532
10/1/77,83794
11/1/77,84173
12/1/77,84408
1/1/78,84595
2/1/78,84948
3/1/78,85461
4/1/78,86163
5/1/78,86509
6/1/78,86951
7/1/78,87205
8/1/78,87481
9/1/78,87618
10/1/78,87954
11/1/78,88391
12/1/78,88674
1/1/79,88811
2/1/79,89054
3/1/79,89480
4/1/79,89418
5/1/79,89790
6/1/79,90108
7/1/79,90214
8/1/79,90296
9/1/79,90323
10/1/79,90480
11/1/79,90574
12/1/79,90669
1/1/80,90800
2/1/80,90879
3/1/80,90991
4/1/80,90846
5/1/80,90415
6/1/80,90095
7/1/80,89832
8/1/80,90092
9/1/80,90205
10/1/80,90485
11/1/80,90741
12/1/80,90936
1/1/81,91031
2/1/81,91098
3/1/81,91202
4/1/81,91276
5/1/81,91286
6/1/81,91482
7/1/81,91594
8/1/81,91558
9/1/81,91471
10/1/81,91371
11/1/81,91162
12/1/81,90884
1/1/82,90557
2/1/82,90551
3/1/82,90422
4/1/82,90141
5/1/82,90096
6/1/82,89853
7/1/82,89510
8/1/82,89352
9/1/82,89171
10/1/82,88894
11/1/82,88770
12/1/82,88756
1/1/83,88981
2/1/83,88903
3/1/83,89076
4/1/83,89352
5/1/83,89629
6/1/83,90007
7/1/83,90425
8/1/83,90117
9/1/83,91231
10/1/83,91502
11/1/83,91854
12/1/83,92210
1/1/84,92657
2/1/84,93136
3/1/84,93411
4/1/84,93774
5/1/84,94082
6/1/84,94461
7/1/84,94773
8/1/84,95014
9/1/84,95325
10/1/84,95611
11/1/84,95960
12/1/84,96087
1/1/85,96353
2/1/85,96477
3/1/85,96823
4/1/85,97018
5/1/85,97292
6/1/85,97437
7/1/85,97626
8/1/85,97819
9/1/85,98023
10/1/85,98210
11/1/85,98419
12/1/85,98587
1/1/86,98710
2/1/86,98817
3/1/86,98910
4/1/86,99098
5/1/86,99223
6/1/86,99130
7/1/86,99448
8/1/86,99561
9/1/86,99907
10/1/86,100094
11/1/86,100280
12/1/86,100484
1/1/87,100655
2/1/87,100887
3/1/87,101136
4/1/87,101474
5/1/87,101701
6/1/87,101872
7/1/87,102218
8/1/87,102388
9/1/87,102617
10/1/87,103109
11/1/87,103340
12/1/87,103634
1/1/88,103728
2/1/88,104180
3/1/88,104456
4/1/88,104701
5/1/88,104928
6/1/88,105291
7/1/88,105514
8/1/88,105635
9/1/88,105975
10/1/88,106243
11/1/88,106582
12/1/88,106871
1/1/89,107133
2/1/89,107391
3/1/89,107583
4/1/89,107756
5/1/89,107874
6/1/89,107991
7/1/89,108030
8/1/89,108077
9/1/89,108326
10/1/89,108437
11/1/89,108714
12/1/89,108809
1/1/90,109145
2/1/90,109394
3/1/90,109609
4/1/90,109650
5/1/90,109800
6/1/90,109822
7/1/90,109776
8/1/90,109570
9/1/90,109484
10/1/90,109325
11/1/90,109178
12/1/90,109120
1/1/91,108997
2/1/91,108692
3/1/91,108534
4/1/91,108322
5/1/91,108196
6/1/91,108286
7/1/91,108236
8/1/91,108255
9/1/91,108289
10/1/91,108305
11/1/91,108248
12/1/91,108272
1/1/92,108324
2/1/92,108257
3/1/92,108313
4/1/92,108472
5/1/92,108598
6/1/92,108659
7/1/92,108731
8/1/92,108872
9/1/92,108909
10/1/92,109088
11/1/92,109227
12/1/92,109440
1/1/93,109750
2/1/93,109991
3/1/93,109942
4/1/93,110251
5/1/93,110519
6/1/93,110693
7/1/93,110992
8/1/93,111154
9/1/93,111396
10/1/93,111676
11/1/93,111938
12/1/93,112250
1/1/94,112519
2/1/94,112722
3/1/94,113188
4/1/94,113538
5/1/94,113869
6/1/94,114179
7/1/94,114541
8/1/94,114839
9/1/94,115193
10/1/94,115400
11/1/94,115818
12/1/94,116094
1/1/95,116414
2/1/95,116621
3/1/95,116844
4/1/95,117005
5/1/95,116991
6/1/95,117223
7/1/95,117302
8/1/95,117577
9/1/95,117821
10/1/95,117971
11/1/95,118119
12/1/95,118251
1/1/96,118229
2/1/96,118664
3/1/96,118928
4/1/96,119090
5/1/96,119413
6/1/96,119694
7/1/96,119928
8/1/96,120127
9/1/96,120347
10/1/96,120594
11/1/96,120893
12/1/96,121061
1/1/97,121293
2/1/97,121595
3/1/97,121910
4/1/97,122201
5/1/97,122461
6/1/97,122718
7/1/97,123007
8/1/97,122996
9/1/97,123504
10/1/97,123844
11/1/97,124148
12/1/97,124452
1/1/98,124725
2/1/98,124919
3/1/98,125065
4/1/98,125344
5/1/98,125744
6/1/98,125954
7/1/98,126074
8/1/98,126425
9/1/98,126644
10/1/98,126838
11/1/98,127119
12/1/98,127466
1/1/99,127589
2/1/99,127998
3/1/99,128106
4/1/99,128479
5/1/99,128692
6/1/99,128955
7/1/99,129248
8/1/99,129439
9/1/99,129642
10/1/99,130045
11/1/99,130336
12/1/99,130636
1/1/00,130869
2/1/00,130999
3/1/00,131470
4/1/00,131757
5/1/00,131982
6/1/00,131936
7/1/00,132102
8/1/00,132104
9/1/00,132231
10/1/00,132219
11/1/00,132442
12/1/00,132580
1/1/01,132548
2/1/01,132617
3/1/01,132588
4/1/01,132307
5/1/01,132266
6/1/01,132140
7/1/01,132018
8/1/01,131862
9/1/01,131618
10/1/01,131291
11/1/01,130995
12/1/01,130823
1/1/02,130680
2/1/02,130545
3/1/02,130523
4/1/02,130440
5/1/02,130434
6/1/02,130486
7/1/02,130394
8/1/02,130380
9/1/02,130322
10/1/02,130446
11/1/02,130453
12/1/02,130291
1/1/03,130380
2/1/03,130222
3/1/03,130007
4/1/03,129956
5/1/03,129946
6/1/03,129943
7/1/03,129963
8/1/03,129919
9/1/03,130024
10/1/03,130221
11/1/03,130234
12/1/03,130353
1/1/04,130512
2/1/04,130555
3/1/04,130888
4/1/04,131135
5/1/04,131441
6/1/04,131519
7/1/04,131556
8/1/04,131681
9/1/04,131836
10/1/04,132179
11/1/04,132244
12/1/04,132372
1/1/05,132502
2/1/05,132742
3/1/05,132877
4/1/05,133239
5/1/05,133407
6/1/05,133653
7/1/05,134025
8/1/05,134217
9/1/05,134282
10/1/05,134363
11/1/05,134698
12/1/05,134856
1/1/06,135130
2/1/06,135446
3/1/06,135726
4/1/06,135907
5/1/06,135928
6/1/06,136008
7/1/06,136218
8/1/06,136397
9/1/06,136556
10/1/06,136553
11/1/06,136758
12/1/06,136927
1/1/07,137161
2/1/07,137251
3/1/07,137437
4/1/07,137513
5/1/07,137654
6/1/07,137734
7/1/07,137699
8/1/07,137675
9/1/07,137752
10/1/07,137838
11/1/07,137949
12/1/07,138042
1/1/08,138056
2/1/08,137971
3/1/08,137892
4/1/08,137677
5/1/08,137491
6/1/08,137322
7/1/08,137106
8/1/08,136836
9/1/08,136377
10/1/08,135905
11/1/08,135130
12/1/08,134425
1/1/09,133631
2/1/09,132936
3/1/09,132106
4/1/09,131402
5/1/09,131050
6/1/09,130578
7/1/09,130227
8/1/09,130017
9/1/09,129784
10/1/09,129614
11/1/09,129593
12/1/09,129373
1/1/10,129360
2/1/10,129320
3/1/10,129474
4/1/10,129703
5/1/10,130224
6/1/10,130094
7/1/10,130008
8/1/10,129971
9/1/10,129928
10/1/10,130156
11/1/10,130300
12/1/10,130395
1/1/11,130464
2/1/11,130660
3/1/11,130865
4/1/11,131169
5/1/11,131284
6/1/11,131493
7/1/11,131571
8/1/11,131703
9/1/11,131928
10/1/11,132094
11/1/11,132268
12/1/11,132498
1/1/12,132809
2/1/12,133080
3/1/12,133285
4/1/12,133397
5/1/12,133522
6/1/12,133609
7/1/12,133762
8/1/12,133927
9/1/12,134065
10/1/12,134225
11/1/12,134472
12/1/12,134691
1/1/13,134839
2/1/13,135171
3/1/13,135313
4/1/13,135512
5/1/13,135688
6/1/13,135860
7/1/13,135949
8/1/13,136187
9/1/13,136362
10/1/13,136562
11/1/13,136803
12/1/13,136877
